sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
530.4337@14.873384,534218,654410,610987,468961,434732,327467,306026,343257,1,1,388231,304773,439436,460942,481492
364.3346@14.870728,17298,25768,16913,27643,26604,13395,15295,28996,31805,1,102465,56818,1,1,1
506.4337@14.8841,194546,1,171730,1,195551,156066,1,1,157044,103482,1,125971,151132,177218,164237
326.3185@14.889642,28817,33205,32189,30797,1,29507,29808,35444,34583,30311,45874,33933,31795,27607,29946
440.3868@14.897134,22731,31206,20316,30928,35510,22338,33593,51897,54694,36628,145030,90038,15590,21716,25037
456.2548@14.899134,1730457,1462616,1619967,719119,741707,769890,1014692,951973,914945,461968,239492,385186,1786694,1820158,1740218
576.2984@14.8972,80172,55905,62213,1,1,24272,33761,27472,26312,1,1,1,68440,67003,61043
576.4758@14.913402,2767253,3057372,2873005,1951003,1844507,1404839,1302687,1829871,1608611,866571,993310,904412,1873642,1841697,1916241
760.5745@14.9198,443780,637895,396517,934595,921487,522594,837254,1141258,1312736,890318,2278540,1604617,424155,507103,554173
924.5804@14.922,43409,66826,43721,92887,91540,58284,87738,105028,116210,89091,95956,122644,47595,58334,61123
842.5774@14.920867,121503,171191,108525,228574,227552,147998,213290,286984,302338,229955,350889,343423,119862,144595,154519
598.4573@14.915307,109646,187990,185575,139574,113302,90956,88210,87807,94051,66084,35680,1,113374,104570,1
354.2076@14.922784,91269,79029,102266,76602,79674,125848,1,54795,67335,49944,53026,48190,124066,56924,52665
552.4754@14.933401,99481,95085,115905,87499,60191,59500,146023,144098,151084,63421,89208,87806,100719,87489,86431
442.2394@14.947307,58391,53130,50514,1,48190,43162,60155,53377,53542,29906,1,31957,42592,35365,37455
354.3501@14.9626665,51993,78518,48907,85718,86137,46163,69140,97218,118531,61987,275320,165097,51442,65315,70551
460.3758@14.961908,8934,14162,1,14918,16592,1,13422,18571,22664,13375,65448,31876,1,1,11512
416.3671@14.969857,13806,22266,9818,22954,23064,12392,24102,35483,45033,16053,84854,55822,1,13575,15662
748.5741@14.968934,81650,142780,89050,269513,240335,120294,205423,315913,382681,290652,872577,577228,113119,141589,153074
830.577@14.969571,21162,41167,22491,72178,63731,33886,56069,83657,101565,78804,162170,133227,1,39659,41349
476.387@14.976,7271,16782,1,15458,16944,1,20040,28024,41314,12263,62446,45526,1,1,1
532.4491@14.974384,204798,242856,230405,194556,190479,128763,142631,174396,166303,1,243955,133464,1,184800,199454
535.2584@14.977533,710766,511181,606056,480516,376954,629492,407980,353887,317110,231953,37027,118563,716189,639449,574478
619.3033@14.968666,227083,183368,195485,198773,210851,215004,164838,1,167562,99480,1,91308,1,213953,192864
